ntrvl(sec) #Pckts  #PcktsOvHd
0.1   0   7700
0.5   0   8440
1.0   7   9235
1.5   7   8879
2.0   7   9839
2.5   6   9093
3.0   7   9053
3.5   7   9536
4.0   9   9160
4.5   10   9322
5.0   9   9002
5.5   10   9194
6.0   9   9237
6.5   10   9783
7.0   11   9677
7.5   13   10529
8.0   12   10122
8.5   9   10285
9.0   13   10164
9.5   9   9972
10.0   9   9704
10.5   9   10193
11.0   9   9878
11.5   9   9726
12.0   10   9875
12.5   11   9645
13.0   8   9725
13.5   10   9680
14.0   8   9809
14.5   10   10645
15.0   8   10000
15.5   8   10148
16.0   9   9523
16.5   9   9992
17.0   10   9870
17.5   9   9819
18.0   8   9933
18.5   10   9968
19.0   8   10368
19.5   10   10242
20.0   11   10524
20.5   13   11077
21.0   11   11990
21.5   13   11489
22.0   14   12185
22.5   11   10513
23.0   11   10497
23.5   13   11431
24.0   14   12093
24.5   14   11470
25.0   13   11739
25.5   12   12544
26.0   13   11983
26.5   13   11225
27.0   13   12053
27.5   14   12228
28.0   13   12654
28.5   12   12721
29.0   13   11823
29.5   11   11661
30.0   6   12651
