ntrvl(sec) #Pckts  #PcktsOvHd
0.1   0   4031
0.5   0   4351
1.0   6   4645
1.5   1   4669
2.0   7   4790
2.5   8   4823
3.0   8   4874
3.5   8   4792
4.0   8   4739
4.5   9   4868
5.0   10   4827
5.5   11   4910
6.0   5   5033
6.5   4   5125
7.0   4   5123
7.5   7   5209
8.0   7   5252
8.5   6   5323
9.0   5   5444
9.5   4   5433
10.0   3   5474
10.5   5   5456
11.0   4   5440
11.5   5   5400
12.0   5   5382
12.5   4   5512
13.0   2   5388
13.5   1   5395
14.0   3   5435
14.5   2   5400
15.0   1   5400
15.5   1   5475
16.0   2   5510
16.5   0   5525
17.0   0   5539
17.5   0   5715
18.0   1   5618
18.5   0   5730
19.0   0   5674
19.5   0   5792
20.0   1   5712
20.5   1   5672
21.0   2   5789
21.5   3   5760
22.0   4   5851
22.5   5   5853
23.0   6   5874
23.5   6   5894
24.0   7   5820
24.5   7   5858
25.0   7   5873
25.5   7   5948
26.0   7   6020
26.5   7   5889
27.0   8   6018
27.5   8   5906
28.0   6   5881
28.5   5   5938
29.0   5   5997
29.5   6   6066
30.0   5   6032
