distance   nombrePaquets
1   4876
3   4875
5   4875
7   4875
9   4875
11   4875
13   4875
15   4874
17   4874
19   4874
21   4854
23   3830
25   13
27   0
29   0
31   0
33   0
35   0
37   0
39   0
41   0
43   0
45   0
47   0
49   0
51   0
53   0
55   0
57   0
59   0
61   0
63   0
65   0
67   0
69   0
71   0
73   0
75   0
77   0
79   0
81   0
83   0
85   0
87   0
89   0
91   0
93   0
95   0
97   0
99   0
101   0
103   0
105   0
107   0
109   0
111   0
113   0
115   0
117   0
119   0
121   0
123   0
125   0
127   0
129   0
131   0
133   0
135   0
137   0
139   0
141   0
143   0
145   0
147   0
149   0
