distance   nombrePaquets
1   3804
3   3803
5   3803
7   3803
9   3803
11   3803
13   3803
15   3803
17   3803
19   3803
21   3780
23   3592
25   2949
27   3109
29   3109
31   3109
33   3098
35   2919
37   2442
39   2442
41   2442
43   2415
45   2219
47   1994
49   1994
51   1994
53   0
55   0
57   0
59   0
61   0
63   0
65   0
67   0
69   0
71   0
73   0
75   0
77   0
79   0
81   0
83   0
85   0
87   0
89   0
91   0
93   0
95   0
97   0
99   0
101   0
103   0
105   0
107   0
109   0
111   0
113   0
115   0
117   0
119   0
121   0
123   0
125   0
127   0
129   0
131   0
133   0
135   0
137   0
139   0
141   0
143   0
145   0
147   0
149   0
