distance   nombrePaquets

1   9648
3   9648
5   9648
7   9648
9   9648
11   9648
13   9648
15   9648
17   9648
19   9332
21   8226
23   7470
25   3038
27   5776
29   5776
31   5773
33   5674
35   4418
37   3850
39   3849
41   3836
43   3691
45   2787
47   2880
49   2880
51   2880
53   0
55   0
57   0
59   0
61   0
63   0
65   0
67   0
69   0
71   0
73   0
75   0
77   0
79   0
81   0
83   0
85   0
87   0
89   0
91   0
93   0
95   0
97   0
99   0
101   0
103   0
105   0
107   0
109   0
111   0
113   0
115   0
117   0
119   0
121   0
123   0
125   0
127   0
129   0
131   0
133   0
135   0
137   0
139   0
141   0
143   0
145   0
147   0
149   0
